ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,รวม,"7,997","6,637","5,927","5,530","4,557","4,760","4,744","4,148","3,875","3,353",
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,"4,436","3,974","3,703","3,654","3,178","3,217","2,927","2,648","2,228","2,072",
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ปล้นทรัพย์,932,711,579,471,283,383,345,371,364,203,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ชิงทรัพย์ (รวม),"2,034","1,732","1,415","1,167",791,951,"1,182",919,"1,044",759,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ลักพาเรียกค่าไถ่,21,16,5,7,9,9,12,19,7,6,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,วางเพลิง,574,204,225,231,297,200,278,191,232,313,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,รวม,"3,697","3,410","3,214","3,046","2,342","2,767","3,060","2,694","2,774","2,388",
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ฆ่าผู้อื่นโดยเจตนา,"1,911","1,920","1,811","1,765","1,476","1,742","1,806","1,634","1,570","1,456",
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ปล้นทรัพย์,561,408,386,335,186,271,259,283,281,148,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ชิงทรัพย์ (รวม),"1,029",951,892,811,512,631,835,640,756,562,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ลักพาเรียกค่าไถ่,15,13,3,3,7,7,11,15,6,5,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,วางเพลิง,181,118,122,132,162,116,149,122,161,217,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,รวม,"1,085",962,753,539,338,561,615,579,581,362,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,282,252,225,183,150,204,189,209,156,144,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ปล้นทรัพย์,176,164,112,81,54,106,105,113,114,38,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ชิงทรัพย์ (รวม),589,522,399,265,119,238,297,238,293,157,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ลักพาเรียกค่าไถ่,3,4,0,1,2,1,3,2,1,1,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,วางเพลิง,35,20,17,9,13,12,21,17,17,22,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,รวม,486,431,392,329,203,360,422,380,432,241,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ฆ่าผู้อื่นโดยเจตนา,128,126,119,99,77,131,131,140,129,101,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ปล้นทรัพย์,88,78,64,56,35,74,79,83,94,26,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ชิงทรัพย์ (รวม),257,217,202,171,85,147,199,148,200,99,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ลักพาเรียกค่าไถ่,2,2,0,0,2,0,2,1,1,1,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,วางเพลิง,11,8,7,3,4,8,11,8,8,14,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,รวม,155,127,99,121,107,126,109,89,77,53,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,52,58,49,58,47,59,39,39,34,21,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ปล้นทรัพย์,39,16,18,17,12,17,12,17,12,7,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ชิงทรัพย์ (รวม),60,49,30,40,42,50,56,28,25,21,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ลักพาเรียกค่าไถ่,0,1,1,0,0,0,1,2,0,0,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,วางเพลิง,4,3,1,6,6,0,1,3,6,4,
ภาคกลาง,สมุทรปราการ,จับกุม,รวม,97,89,67,83,43,67,82,62,49,45,
ภาคกลาง,สมุทรปราการ,จับกุม,ฆ่าผู้อื่นโดยเจตนา,28,35,28,32,17,31,28,29,20,18,
ภาคกลาง,สมุทรปราการ,จับกุม,ปล้นทรัพย์,30,13,15,14,6,10,11,10,7,6,
ภาคกลาง,สมุทรปราการ,จับกุม,ชิงทรัพย์ (รวม),35,37,23,33,19,26,41,20,17,17,
ภาคกลาง,สมุทรปราการ,จับกุม,ลักพาเรียกค่าไถ่,0,1,1,0,0,0,1,0,0,0,
ภาคกลาง,สมุทรปราการ,จับกุม,วางเพลิง,4,3,0,4,1,0,1,3,5,4,
ภาคกลาง,นนทบุรี,รับแจ้ง,รวม,192,169,117,118,78,123,82,59,56,53,
ภาคกลาง,นนทบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,44,60,51,56,37,45,29,26,25,19,
ภาคกลาง,นนทบุรี,รับแจ้ง,ปล้นทรัพย์,34,28,20,11,5,23,11,10,11,14,
ภาคกลาง,นนทบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),106,76,43,48,32,53,41,22,19,18,
ภาคกลาง,นนทบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,1,2,0,0,0,0,0,1,0,0,
ภาคกลาง,นนทบุรี,รับแจ้ง,วางเพลิง,7,3,3,3,4,2,1,0,1,2,
ภาคกลาง,นนทบุรี,จับกุม,รวม,63,75,59,47,29,71,75,44,42,36,
ภาคกลาง,นนทบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,20,28,24,21,14,24,27,15,19,10,
ภาคกลาง,นนทบุรี,จับกุม,ปล้นทรัพย์,13,10,11,6,4,10,11,10,9,9,
ภาคกลาง,นนทบุรี,จับกุม,ชิงทรัพย์ (รวม),28,34,21,19,10,36,36,18,14,15,
ภาคกลาง,นนทบุรี,จับกุม,ลักพาเรียกค่าไถ่,1,2,0,0,0,0,0,1,0,0,
ภาคกลาง,นนทบุรี,จับกุม,วางเพลิง,1,1,3,1,1,1,1,0,0,2,
ภาคกลาง,ปทุมธานี,รับแจ้ง,รวม,166,130,124,89,80,97,100,84,69,84,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,58,69,54,49,43,47,42,38,36,44,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ปล้นทรัพย์,44,15,18,12,11,15,13,20,10,8,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ชิงทรัพย์ (รวม),62,42,51,27,23,33,41,21,21,29,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,1,1,0,0,0,0,
ภาคกลาง,ปทุมธานี,รับแจ้ง,วางเพลิง,2,4,1,1,2,1,4,5,2,3,
ภาคกลาง,ปทุมธานี,จับกุม,รวม,105,76,89,50,59,65,78,66,50,75,
ภาคกลาง,ปทุมธานี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,29,39,38,24,31,28,35,29,27,40,
ภาคกลาง,ปทุมธานี,จับกุม,ปล้นทรัพย์,32,9,13,8,8,11,11,19,7,8,
ภาคกลาง,ปทุมธานี,จับกุม,ชิงทรัพย์ (รวม),42,25,38,17,17,25,29,14,14,26,
ภาคกลาง,ปทุมธานี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,1,1,0,0,0,0,
ภาคกลาง,ปทุมธานี,จับกุม,วางเพลิง,2,3,0,1,2,0,3,4,2,1,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,รวม,88,87,59,77,56,68,60,71,48,49,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,38,38,29,51,33,36,25,39,31,16,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ปล้นทรัพย์,19,18,8,5,10,10,4,8,4,3,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ชิงทรัพย์ (รวม),30,30,20,21,11,19,30,22,11,28,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,วางเพลิง,1,1,2,0,2,3,1,2,2,2,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,รวม,59,56,42,38,35,47,37,40,26,35,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ฆ่าผู้อื่นโดยเจตนา,19,21,20,18,18,25,18,22,18,12,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ปล้นทรัพย์,16,15,7,4,8,9,3,4,2,3,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ชิงทรัพย์ (รวม),23,19,15,16,8,10,15,12,5,19,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,วางเพลิง,1,1,0,0,1,3,1,2,1,1,
ภาคกลาง,อ่างทอง,รับแจ้ง,รวม,39,20,30,25,14,23,26,21,13,15,
ภาคกลาง,อ่างทอง,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,15,13,21,13,10,10,12,11,5,6,
ภาคกลาง,อ่างทอง,รับแจ้ง,ปล้นทรัพย์,8,4,2,6,0,1,6,1,1,2,
ภาคกลาง,อ่างทอง,รับแจ้ง,ชิงทรัพย์ (รวม),14,2,7,4,4,11,7,8,6,6,
ภาคกลาง,อ่างทอง,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,อ่างทอง,รับแจ้ง,วางเพลิง,2,1,0,2,0,1,1,1,1,1,
ภาคกลาง,อ่างทอง,จับกุม,รวม,19,8,12,13,4,9,21,11,6,8,
ภาคกลาง,อ่างทอง,จับกุม,ฆ่าผู้อื่นโดยเจตนา,11,6,9,7,1,5,10,4,3,5,
ภาคกลาง,อ่างทอง,จับกุม,ปล้นทรัพย์,3,1,0,4,0,0,6,1,0,1,
ภาคกลาง,อ่างทอง,จับกุม,ชิงทรัพย์ (รวม),4,1,3,1,3,4,5,5,3,2,
ภาคกลาง,อ่างทอง,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,อ่างทอง,จับกุม,วางเพลิง,1,0,0,1,0,0,0,1,0,0,
ภาคกลาง,ลพบุรี,รับแจ้ง,รวม,83,64,67,51,58,46,43,38,29,22,
ภาคกลาง,ลพบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,58,50,43,40,41,34,31,31,17,14,
ภาคกลาง,ลพบุรี,รับแจ้ง,ปล้นทรัพย์,4,5,7,2,1,0,1,1,2,0,
ภาคกลาง,ลพบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),20,9,17,7,11,8,7,5,7,5,
ภาคกลาง,ลพบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,1,1,0,0,0,
ภาคกลาง,ลพบุรี,รับแจ้ง,วางเพลิง,1,0,0,2,5,3,3,1,3,3,
ภาคกลาง,ลพบุรี,จับกุม,รวม,50,32,41,25,34,31,34,23,19,22,
