ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,รวม,"39,461","33,483","32,671","29,253","23,993","25,040","23,944","23,613","25,087","20,305"
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,"4,436","3,974","3,703","3,654","3,176","3,217","2,927","2,648","2,228","2,071"
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,268,258,287,257,577,660,681,674,621,524
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ทำให้ตายโดยประมาท,222,241,194,169,224,249,263,245,236,229
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,พยายามฆ่า,"6,713","5,564","5,452","4,852","4,141","4,331","4,421","4,112","4,001","2,786"
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ทำร้ายร่างกาย,"22,667","18,802","18,359","16,066","12,338","13,152","12,349","12,966","15,153","12,436"
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ข่มขืนกระทำชำเรา,"5,155","4,644","4,676","4,255","3,537","3,431","3,303","2,968","2,848","2,259"
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,รวม,"19,217","17,680","18,675","16,805","12,044","13,649","15,643","15,307","17,870","14,977"
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ฆ่าผู้อื่นโดยเจตนา,"1,911","1,920","1,811","1,765","1,476","1,742","1,806","1,634","1,570","1,455"
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,153,181,209,197,332,449,509,483,483,443
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ทำให้ตายโดยประมาท,141,181,154,135,151,177,192,177,173,181
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,พยายามฆ่า,"2,738","2,620","2,694","2,370","1,850","2,132","2,734","2,456","2,646","1,956"
