ภาค,จังหวัด,ประเภทความผิด,2560,,,2561,,,2562,,,2563,,,2564,,,
,,,รับแจ้ง,จับกุม,ผู้ต้องหา,รับแจ้ง,จับกุม,ผู้ต้องหา,รับแจ้ง,จับกุม,ผู้ต้องหา,รับแจ้ง,จับกุม,ผู้ต้องหา,รับแจ้ง,จับกุม,ผู้ต้องหา,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,"19,830","15,735","20,266","17,468","19,183","19,323","16,573","15,207","19,434","14,459","13,645","16,939","13,738","13,121","18,281",
,,ฆ่าผู้อื่น,"1,781","1,372","1,841","1,443","1,503","1,508","1,351","1,125","1,599","1,177","1,053","1,342",899,817,"1,103",
,,ทำร้ายผู้อื่นถึงแก่ความตาย,487,406,652,401,493,493,416,395,547,396,372,455,408,397,499,
,,พยายามฆ่า,"2,231","1,662","2,363","2,052","2,200","2,203","1,941","1,719","2,298","1,612","1,502","1,984","1,718","1,574","2,174",
,,ทำร้ายร่างกาย,"10,871","8,895","11,588","10,030","11,618","11,738","9,538","8,955","11,714","5,782","5,588","7,136","2,976","2,910","4,107",
,,ข่มขืนกระทำชำเรา,"2,546","1,898","2,194","2,139","2,053","2,062","1,806","1,612","1,792","1,610","1,502","1,643","1,411","1,322","1,595",
,,อื่น ๆ,"1,914","1,502","1,628","1,403","1,316","1,319","1,521","1,401","1,484","3,882","3,628","4,379","6,326","6,101","8,803",
กรุงเทพมหานคร,กรุงเทพมหานคร,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,"2,727","2,036","2,503","2,457","2,345","2,484","2,395","2,081","2,548","2,119","1,897","2,314","1,993","1,846","2,459",
,,ฆ่าผู้อื่น,88,77,106,88,120,125,81,73,131,63,58,76,36,36,66,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,48,39,57,32,38,38,37,32,43,34,31,39,28,27,52,
,,พยายามฆ่า,110,82,125,84,85,88,85,74,102,72,63,104,81,70,121,
,,ทำร้ายร่างกาย,"2,102","1,591","1,955","1,942","1,854","1,973","1,875","1,653","2,008","1,172","1,089","1,297",790,764,972,
,,ข่มขืนกระทำชำเรา,226,140,148,175,132,141,133,101,107,124,102,111,127,105,124,
,,อื่น ๆ,153,107,112,136,116,119,184,148,157,654,554,687,931,844,"1,124",
ภาคกลาง,สมุทรปราการ,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,361,340,419,291,381,381,283,278,380,266,262,359,282,275,371,
,,ฆ่าผู้อื่น,33,34,43,20,20,20,15,14,17,21,20,26,12,11,18,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,9,10,22,14,18,18,7,7,23,11,11,20,8,8,10,
,,พยายามฆ่า,42,48,49,15,28,28,32,32,57,16,15,18,26,25,35,
,,ทำร้ายร่างกาย,197,183,221,180,241,241,175,172,230,102,101,148,56,54,71,
,,ข่มขืนกระทำชำเรา,52,39,55,36,48,48,36,35,35,28,27,31,38,37,48,
,,อื่น ๆ,28,26,29,26,26,26,18,18,18,88,88,116,142,140,189,
,นนทบุรี,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,288,211,283,263,295,295,238,210,269,292,277,357,273,251,325,
,,ฆ่าผู้อื่น,28,25,41,18,24,24,15,14,19,10,10,26,16,16,20,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,7,6,15,5,5,5,5,5,5,10,9,18,12,11,17,
,,พยายามฆ่า,27,20,25,31,34,34,24,23,33,22,21,40,24,23,34,
,,ทำร้ายร่างกาย,173,121,162,159,182,182,156,136,176,110,106,125,60,56,71,
,,ข่มขืนกระทำชำเรา,23,13,13,36,36,36,21,18,22,26,24,26,18,16,20,
,,อื่น ๆ,30,26,27,14,14,14,17,14,14,114,107,122,143,129,163,
,ปทุมธานี,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,414,330,461,302,367,367,335,316,431,279,271,372,312,302,461,
,,ฆ่าผู้อื่น,24,20,38,17,20,20,20,19,28,15,15,22,21,18,23,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,15,14,24,7,10,10,5,5,7,6,5,5,9,9,9,
,,พยายามฆ่า,49,39,72,34,36,36,36,33,47,26,24,48,26,24,37,
,,ทำร้ายร่างกาย,231,183,247,177,240,240,202,193,273,128,127,172,42,42,76,
,,ข่มขืนกระทำชำเรา,45,37,41,33,28,28,36,31,38,39,37,41,30,30,33,
,,อื่น ๆ,50,37,39,34,33,33,36,35,38,65,63,84,184,179,283,
,พระนครศรีอยุธยา,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,358,273,356,238,275,275,255,230,320,225,199,261,225,213,315,
,,ฆ่าผู้อื่น,16,16,14,15,18,18,15,15,21,13,11,13,8,8,18,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,10,8,16,4,6,6,6,5,6,7,6,8,8,8,9,
,,พยายามฆ่า,21,12,14,24,29,29,27,23,31,14,12,15,15,15,26,
,,ทำร้ายร่างกาย,254,201,268,139,168,168,175,160,232,109,102,147,66,62,88,
,,ข่มขืนกระทำชำเรา,33,21,26,31,31,31,18,13,16,21,18,18,13,11,13,
,,อื่น ๆ,24,15,18,25,23,23,14,14,14,61,50,60,115,109,161,
,อ่างทอง,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,128,108,143,98,127,127,96,94,129,71,70,78,79,77,121,
,,ฆ่าผู้อื่น,4,4,5,5,4,4,6,6,9,5,5,6,7,7,19,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,4,3,9,2,2,2,1,1,1,0,0,0,3,3,3,
,,พยายามฆ่า,11,12,9,19,23,23,6,5,5,4,4,4,10,10,12,
,,ทำร้ายร่างกาย,89,68,100,59,83,83,65,64,96,33,33,38,17,17,31,
,,ข่มขืนกระทำชำเรา,11,11,10,9,9,9,8,8,8,7,7,7,7,7,8,
,,อื่น ๆ,9,10,10,4,6,6,10,10,10,22,21,23,35,33,48,
,ลพบุรี,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,240,202,255,202,236,236,193,182,232,171,168,198,156,151,209,
,,ฆ่าผู้อื่น,20,20,21,13,16,16,13,13,15,14,13,17,13,13,14,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,3,2,3,7,9,9,9,9,10,5,5,5,4,4,5,
,,พยายามฆ่า,14,13,11,15,16,16,10,9,12,10,10,10,14,12,15,
,,ทำร้ายร่างกาย,149,127,162,125,146,146,110,102,134,59,59,71,32,32,43,
,,ข่มขืนกระทำชำเรา,39,27,39,24,30,30,27,26,37,27,27,38,15,13,13,
,,อื่น ๆ,15,13,19,18,19,19,24,23,24,56,54,57,78,77,119,
,สิงห์บุรี,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,114,88,101,73,93,93,56,53,67,77,76,96,68,66,91,
,,ฆ่าผู้อื่น,5,4,4,3,3,3,4,4,4,2,2,2,4,3,3,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,2,0,1,1,1,1,2,2,3,0,0,0,3,3,3,
,,พยายามฆ่า,8,8,9,1,1,1,8,8,12,5,5,14,8,8,10,
,,ทำร้ายร่างกาย,82,62,73,52,72,72,32,31,40,35,35,40,11,11,19,
,,ข่มขืนกระทำชำเรา,10,9,7,7,7,7,4,4,4,6,6,6,2,2,2,
,,อื่น ๆ,7,5,7,9,9,9,6,4,4,29,28,34,40,39,54,
,ชัยนาท,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,72,70,85,62,85,85,77,76,98,47,46,58,71,71,105,
,,ฆ่าผู้อื่น,8,7,14,2,2,2,4,4,8,5,5,5,3,3,6,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,2,2,2,0,0,0,1,1,1,2,2,2,2,2,3,
,,พยายามฆ่า,8,9,15,6,6,6,4,4,4,5,5,14,9,9,9,
,,ทำร้ายร่างกาย,30,27,35,34,51,51,49,48,65,19,18,19,11,11,18,
,,ข่มขืนกระทำชำเรา,12,14,8,12,12,12,10,10,11,4,4,5,12,12,14,
,,อื่น ๆ,12,11,11,8,14,14,9,9,9,12,12,13,34,34,55,
,สระบุรี,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,231,169,191,208,245,245,163,157,205,133,123,144,132,125,164,
,,ฆ่าผู้อื่น,26,22,22,15,19,19,17,16,22,13,11,13,10,10,14,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,7,9,10,1,1,1,4,4,5,3,3,3,6,5,6,
,,พยายามฆ่า,9,8,10,13,12,12,9,9,10,13,12,13,18,18,20,
,,ทำร้ายร่างกาย,121,82,104,123,158,158,103,99,137,50,46,58,24,23,39,
,,ข่มขืนกระทำชำเรา,41,30,29,27,27,27,20,19,21,16,13,13,13,12,13,
,,อื่น ๆ,27,18,16,29,28,28,10,10,10,38,38,44,61,57,72,
,ชลบุรี,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,589,371,432,593,598,598,592,526,632,490,447,512,467,439,571,
,,ฆ่าผู้อื่น,44,28,27,37,49,49,31,27,30,26,24,28,16,15,16,
,,ทำร้ายผู้อื่นถึงแก่ความตาย,18,12,13,19,17,17,15,13,14,14,12,12,17,17,19,
,,พยายามฆ่า,39,21,22,42,42,42,53,41,62,43,38,39,33,31,42,
,,ทำร้ายร่างกาย,340,230,280,373,394,394,366,339,410,236,225,275,89,84,114,
,,ข่มขืนกระทำชำเรา,85,45,52,84,66,66,79,61,71,58,46,49,69,61,67,
,,อื่น ๆ,63,35,38,38,30,30,48,45,45,113,102,109,243,231,313,
,ระยอง,ความผิดเกี่ยวกับชีวิต ร่างกาย และเพศ,281,267,262,242,244,244,325,310,362,267,256,297,251,248,311,
,,ฆ่าผู้อื่น,11,11,12,10,10,10,13,13,14,9,9,11,10,10,11,
