ภาค,จังหวัด,เขตการปกครอง,กลุ่มอายุ (ย้ายถิ่น),ยอดรวม,ยอดรวม,ยอดรวม,ผู้ย้ายถิ่น,ผู้ย้ายถิ่น,ผู้ย้ายถิ่น,ผู้ไม่ย้ายถิ่น,ผู้ไม่ย้ายถิ่น,ผู้ไม่ย้ายถิ่น
ภาค,จังหวัด,เขตการปกครอง,,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,ยอดรวม," 68,263,022 "," 33,229,747 "," 35,033,269 "," 667,023 "," 347,480 "," 319,533 "," 67,595,999 "," 32,882,267 "," 34,713,736 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,0 - 5," 3,456,280 "," 1,760,743 "," 1,695,535 "," 41,560 "," 20,328 "," 21,233 "," 3,414,720 "," 1,740,415 "," 1,674,302 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,6 - 12," 5,791,484 "," 2,972,593 "," 2,818,886 "," 23,451 "," 11,392 "," 12,057 "," 5,768,033 "," 2,961,201 "," 2,806,829 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,13 - 14," 1,839,254 "," 935,047 "," 904,203 "," 5,442 "," 3,818 "," 1,624 "," 1,833,812 "," 931,229 "," 902,579 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,15 - 19," 4,273,505 "," 2,172,629 "," 2,100,876 "," 56,186 "," 22,850 "," 33,335 "," 4,217,319 "," 2,149,779 "," 2,067,541 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,20 - 24," 4,805,555 "," 2,431,982 "," 2,373,573 "," 141,533 "," 65,578 "," 75,954 "," 4,664,022 "," 2,366,404 "," 2,297,619 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,25 - 29," 4,971,888 "," 2,513,865 "," 2,458,023 "," 115,470 "," 70,909 "," 44,561 "," 4,856,418 "," 2,442,956 "," 2,413,462 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,30 - 34," 4,640,677 "," 2,333,938 "," 2,306,739 "," 82,911 "," 37,746 "," 45,159 "," 4,557,766 "," 2,296,192 "," 2,261,580 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,35 - 39," 4,602,194 "," 2,282,732 "," 2,319,463 "," 63,148 "," 37,061 "," 26,091 "," 4,539,046 "," 2,245,671 "," 2,293,372 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,40 - 44," 4,978,252 "," 2,431,202 "," 2,547,047 "," 45,381 "," 31,109 "," 14,272 "," 4,932,871 "," 2,400,093 "," 2,532,775 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,45 - 49," 5,233,273 "," 2,525,450 "," 2,707,835 "," 24,977 "," 12,829 "," 12,150 "," 5,208,296 "," 2,512,621 "," 2,695,685 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,50 - 54," 5,260,471 "," 2,505,270 "," 2,755,198 "," 21,435 "," 13,247 "," 8,186 "," 5,239,036 "," 2,492,023 "," 2,747,012 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,55 - 59," 5,051,438 "," 2,390,274 "," 2,661,162 "," 16,351 "," 8,756 "," 7,595 "," 5,035,087 "," 2,381,518 "," 2,653,567 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,60 ปีขึ้นไป," 13,358,751 "," 5,974,022 "," 7,384,729 "," 29,178 "," 11,857 "," 17,316 "," 13,329,573 "," 5,962,165 "," 7,367,413 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,ยอดรวม," 30,702,461 "," 14,786,617 "," 15,915,836 "," 299,910 "," 162,655 "," 137,250 "," 30,402,551 "," 14,623,962 "," 15,778,586 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,0 - 5," 1,509,314 "," 762,375 "," 746,937 "," 15,580 "," 5,618 "," 9,963 "," 1,493,734 "," 756,757 "," 736,974 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,6 - 12," 2,357,783 "," 1,190,573 "," 1,167,204 "," 9,524 "," 6,232 "," 3,290 "," 2,348,259 "," 1,184,341 "," 1,163,914 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,13 - 14," 772,667 "," 391,728 "," 380,940 "," 2,310 ", 856 ," 1,454 "," 770,357 "," 390,872 "," 379,486 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,15 - 19," 1,736,184 "," 868,402 "," 867,782 "," 26,659 "," 10,006 "," 16,651 "," 1,709,525 "," 858,396 "," 851,131 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,20 - 24," 2,112,803 "," 1,050,077 "," 1,062,726 "," 63,862 "," 33,341 "," 30,520 "," 2,048,941 "," 1,016,736 "," 1,032,206 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,25 - 29," 2,345,465 "," 1,173,046 "," 1,172,419 "," 53,683 "," 34,904 "," 18,776 "," 2,291,782 "," 1,138,142 "," 1,153,643 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,30 - 34," 2,397,301 "," 1,182,367 "," 1,214,934 "," 34,525 "," 18,136 "," 16,389 "," 2,362,776 "," 1,164,231 "," 1,198,545 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,35 - 39," 2,364,215 "," 1,152,130 "," 1,212,086 "," 31,596 "," 20,005 "," 11,595 "," 2,332,619 "," 1,132,125 "," 1,200,491 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,40 - 44," 2,490,907 "," 1,215,557 "," 1,275,348 "," 22,123 "," 15,459 "," 6,666 "," 2,468,784 "," 1,200,098 "," 1,268,682 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,45 - 49," 2,455,193 "," 1,176,729 "," 1,278,468 "," 11,223 "," 4,609 "," 6,616 "," 2,443,970 "," 1,172,120 "," 1,271,852 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,50 - 54," 2,392,996 "," 1,149,483 "," 1,243,509 "," 8,659 "," 5,195 "," 3,462 "," 2,384,337 "," 1,144,288 "," 1,240,047 "
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ในเขตเทศบาล,55 - 59," 2,207,286 "," 1,020,377 "," 1,186,909 "," 6,080 "," 3,093 "," 2,987 "," 2,201,206 "," 1,017,284 "," 1,183,922 "
