ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,รวม,"73,068","67,188","59,497","56,798","47,285","49,895","50,245","46,264","48,195","39,232",,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ลักทรัพย์,"62,007","57,457","50,412","48,790","41,446","43,294","43,142","38,966","40,668","32,906",,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,วิ่งราวทรัพย์,"2,906","2,817","2,446","2,081","1,618","1,929","2,256","2,037","2,022","1,360",,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,รีดเอาทรัพย์,23,17,14,14,11,8,13,16,17,18,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,กรรโชกทรัพย์,205,251,222,198,167,191,151,153,170,152,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ชิงทรัพย์ (รวม),"2,034","1,732","1,415","1,167",791,951,"1,182",919,"1,044",759,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,บาดเจ็บ,463,424,358,287,141,184,172,137,218,316,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ไม่บาดเจ็บ,"1,571","1,308","1,057",880,650,767,"1,010",782,826,443,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ปล้นทรัพย์,932,711,579,471,285,383,345,371,364,204,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,รับของโจร,244,207,165,203,142,180,198,200,243,308,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รับแจ้ง,ทำให้เสียทรัพย์,"4,712","3,996","4,244","3,874","2,825","2,959","2,958","3,602","3,667","3,525",,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,รวม,"30,849","30,800","25,736","26,840","20,370","22,082","24,230","23,190","23,438","22,143",,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ลักทรัพย์,"24,934","25,150","19,945","21,682","17,023","18,140","19,664","18,256","18,324","17,633",,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,วิ่งราวทรัพย์,"1,723","1,797","1,627","1,385",988,"1,213","1,449","1,311","1,249",966,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,รีดเอาทรัพย์,9,9,9,9,8,2,7,9,14,13,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,กรรโชกทรัพย์,116,146,131,119,85,111,93,101,118,96,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ชิงทรัพย์ (รวม),"1,029",951,892,811,512,631,835,640,756,562,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,บาดเจ็บ,243,233,227,200,83,134,122,91,155,234,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ไม่บาดเจ็บ,786,718,665,611,429,497,713,549,601,328,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ปล้นทรัพย์,561,408,386,335,186,271,259,283,281,149,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,รับของโจร,204,170,131,148,108,132,144,148,195,255,,
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,จับกุม,ทำให้เสียทรัพย์,"2,270","2,169","2,615","2,351","1,460","1,582","1,779","2,442","2,501","2,469",,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,รวม,"18,451","19,151","16,957","14,192","8,464","10,370","10,488","9,954","9,724","7,755",,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ลักทรัพย์,"16,173","17,075","14,714","12,347","7,382","8,977","8,973","8,448","8,182","6,568",,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,วิ่งราวทรัพย์,767,668,594,484,297,456,470,490,484,271,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,รีดเอาทรัพย์,4,4,6,3,1,4,3,6,1,3,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,กรรโชกทรัพย์,57,55,52,45,34,54,31,27,33,32,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ชิงทรัพย์ (รวม),589,522,399,265,119,238,297,238,293,157,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,บาดเจ็บ,29,24,15,16,13,25,17,20,31,68,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ไม่บาดเจ็บ,560,498,384,249,106,213,280,218,262,89,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ปล้นทรัพย์,176,164,112,81,56,106,105,113,114,39,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,รับของโจร,41,37,28,63,25,35,26,28,41,71,,
กรุงเทพมหานคร,กรุงเทพมหานคร,รับแจ้ง,ทำให้เสียทรัพย์,644,626,"1,052",904,550,500,583,604,576,614,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,รวม,"4,870","4,959","4,625","4,466","3,191","3,670","4,021","3,728","3,364","3,167",,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ลักทรัพย์,"3,935","4,037","3,331","3,396","2,527","2,909","3,097","2,836","2,472","2,465",,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,วิ่งราวทรัพย์,402,370,344,279,188,272,254,287,238,169,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,รีดเอาทรัพย์,1,2,3,1,1,0,1,2,1,2,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,กรรโชกทรัพย์,22,24,27,20,16,24,11,13,11,13,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ชิงทรัพย์ (รวม),257,217,202,171,85,147,199,148,200,99,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,บาดเจ็บ,9,8,8,10,11,18,10,11,19,42,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ไม่บาดเจ็บ,248,209,194,161,74,129,189,137,181,57,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ปล้นทรัพย์,88,78,64,56,35,74,79,83,94,27,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,รับของโจร,28,25,19,25,19,27,21,24,31,54,,
กรุงเทพมหานคร,กรุงเทพมหานคร,จับกุม,ทำให้เสียทรัพย์,137,206,635,518,320,217,359,335,317,338,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,รวม,"2,272","1,575","1,575","1,525","1,338","1,493","1,744","1,285","1,301",888,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ลักทรัพย์,"2,037","1,398","1,406","1,360","1,187","1,306","1,567","1,162","1,149",767,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,วิ่งราวทรัพย์,68,67,62,53,60,74,73,52,59,39,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,รีดเอาทรัพย์,2,0,0,0,0,0,0,0,1,0,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,กรรโชกทรัพย์,4,13,5,1,3,6,6,3,4,3,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ชิงทรัพย์ (รวม),60,49,30,40,42,50,56,28,25,21,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,บาดเจ็บ,24,18,11,12,7,6,4,7,8,6,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ไม่บาดเจ็บ,36,31,19,28,35,44,52,21,17,15,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ปล้นทรัพย์,39,16,18,17,12,17,12,17,12,7,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,รับของโจร,2,4,6,21,2,4,7,10,15,14,,
ภาคกลาง,สมุทรปราการ,รับแจ้ง,ทำให้เสียทรัพย์,60,28,48,33,32,36,23,13,36,37,,
ภาคกลาง,สมุทรปราการ,จับกุม,รวม,"1,328","1,199",974,950,410,648,903,616,636,692,,
ภาคกลาง,สมุทรปราการ,จับกุม,ลักทรัพย์,"1,162","1,057",840,811,336,530,789,531,542,593,,
ภาคกลาง,สมุทรปราการ,จับกุม,วิ่งราวทรัพย์,58,60,52,52,37,56,47,44,39,33,,
ภาคกลาง,สมุทรปราการ,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,สมุทรปราการ,จับกุม,กรรโชกทรัพย์,3,10,4,1,1,3,4,2,2,3,,
ภาคกลาง,สมุทรปราการ,จับกุม,ชิงทรัพย์ (รวม),35,37,23,33,19,26,41,20,17,17,,
ภาคกลาง,สมุทรปราการ,จับกุม,บาดเจ็บ,13,12,7,8,3,2,3,3,3,5,,
