ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,สายการศึกษา,57091808.78
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ไม่ได้เรียน,สายการศึกษา,2113952.46
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ก่อนประถมศึกษา,สายการศึกษา,12205284.92
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับประถมศึกษา,สายการศึกษา,11093074.52
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับมัธยมศึกษาตอนต้น,สายการศึกษา,10311578.79
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,7970473.283
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,2051526.33
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,11513.6875
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับอุดมศึกษา,สายวิชาการ,7280779.413
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับอุดมศึกษา,สายวิชาชีพ,2528626.22
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,1149019.298
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,190115.6575
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,185864.195
กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,7663404
กรุงเทพมหานคร,กรุงเทพมหานคร,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,227514.8825
กรุงเทพมหานคร,กรุงเทพมหานคร,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,695755.9
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,1276953.285
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,1237779.393
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,1146962.603
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,362041.7275
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,1906.2975
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับอุดมศึกษา,สายวิชาการ,2139362.09
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับอุดมศึกษา,สายวิชาชีพ,392164.25
กรุงเทพมหานคร,กรุงเทพมหานคร,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,140540.7575
กรุงเทพมหานคร,กรุงเทพมหานคร,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,3297.9625
กรุงเทพมหานคร,กรุงเทพมหานคร,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,39124.855
ภาคกลาง,สมุทรปราการ,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,1969090.498
ภาคกลาง,สมุทรปราการ,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,35903.165
ภาคกลาง,สมุทรปราการ,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,219134.68
ภาคกลาง,สมุทรปราการ,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,359592.64
ภาคกลาง,สมุทรปราการ,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,397475.7975
