ภาค,จังหวัด,สถานภาพแรงงาน,กำลังแรงงาน,กำลังแรงงานปัจจุบัน,รวม,ชาย,หญิง
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ประชากรอายุ 15 ปีขึ้นไป,กำลังแรงงาน,กำลังแรงงานปัจจุบัน,57091808.78,27525402.5,29566406.28
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,กำลังแรงงานรวม,กำลังแรงงาน,กำลังแรงงานปัจจุบัน,38699624.47,20988476.54,17711147.93
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,กำลังแรงงานปัจจุบัน,38499564.73,20865360.59,17634204.14
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,37751296.51,20459374.14,17291922.37
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,748268.225,405986.45,342281.7725
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,200059.745,123115.9525,76943.7925
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,18392184.3,6536925.96,11855258.34
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,5083502.225,289219.715,4794282.51
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,4400440.9,2076528.11,2323912.795
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,1746111.25,758472.5,987638.75
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,ผู้ว่างงาน,7162129.82,3412705.65,3749424.42
กรุงเทพมหานคร,กรุงเทพมหานคร,ประชากรอายุ 15 ปีขึ้นไป,อื่นๆ,ผู้ว่างงาน,7663404,3674849.5,3988554.5
กรุงเทพมหานคร,กรุงเทพมหานคร,กำลังแรงงานรวม,อื่นๆ,ผู้ว่างงาน,5491181.405,2856193.298,2634988.105
กรุงเทพมหานคร,กรุงเทพมหานคร,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,5489400.698,2855147.25,2634253.45
กรุงเทพมหานคร,กรุงเทพมหานคร,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้มีงานทำ,5344497.055,2771582.098,2572914.958
กรุงเทพมหานคร,กรุงเทพมหานคร,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,ผู้ว่างงาน,144903.645,83565.1525,61338.49
กรุงเทพมหานคร,กรุงเทพมหานคร,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,1780.705,1046.05,734.6575
กรุงเทพมหานคร,กรุงเทพมหานคร,ผู้ไม่อยู่ในกำลังแรงงาน,กำลังแรงงานที่รอฤดูกาล,ผู้ว่างงาน,2172222.6,818656.2,1353566.4
กรุงเทพมหานคร,กรุงเทพมหานคร,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,ผู้ว่างงาน,566989.0925,35174.42,531814.6725
กรุงเทพมหานคร,กรุงเทพมหานคร,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,ผู้ว่างงาน,486584.625,232239.4,254345.225
กรุงเทพมหานคร,กรุงเทพมหานคร,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,ผู้ว่างงาน,184187.25,85579,98608.25
